id_coordenada_dibujo_ruta,id_dibujo_ruta_linea,latitud_dibujo_ruta,longitud_dibujo_ruta,posicion,id_dibujo_rutas,id_ruta,color_ruta,grosor_ruta,opacidad_ruta,id_cuenta_usuario_dibujo,nombre_cuenta_usuario_dibujo,id_cliente_dibujo_ruta,id_ruta,id_tipo_ruta,id_tipo_impresion_hoja_ruta,nombre_ruta,cantidad_punto_ruta,coincidencia_min,numero_ruta,ver_totales,ver_observaciones,ver_retraso_en_planilla,ver_velocidad_excedida,monto_velocidad_excedida,orden_pestania_planilla,visualizar_ruta,frecuencia_envio_hora,estado_ruta,reasignacion_grupal,id_cuenta_usuario_ruta,nombre_cuenta_usuario_ruta,id_cliente_ruta
2635,19,-17.382483888426766,-66.17316273192098,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2636,19,-17.382064094340652,-66.17464436743845,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2637,19,-17.3820052207028,-66.17491527054895,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2638,19,-17.381956585944213,-66.17514862273325,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2639,19,-17.3818516372106,-66.17558045838464,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2640,19,-17.3818055621378,-66.1758433148681,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2641,19,-17.381779964870127,-66.1760766670524,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2642,19,-17.38179532323116,-66.17620809529413,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2643,19,-17.381815801043867,-66.17628587935556,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2644,19,-17.381843958032608,-66.17633415911783,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2645,19,-17.381938667872,-66.17663188431848,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2646,19,-17.38216648323091,-66.17746605132211,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2647,19,-17.38222023737538,-66.17764039490808,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2648,19,-17.38226887206392,-66.17782814953912,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2649,19,-17.382322626178315,-66.17805077288736,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2650,19,-17.382542761910642,-66.1787776515304,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2651,19,-17.382737300244422,-66.17948307250131,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2652,19,-17.3820052207028,-66.17946697924722,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2653,19,-17.3815127898698,-66.17945430650234,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2654,19,-17.380729510604947,-66.17943821324825,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2655,19,-17.37950850977217,-66.17939798011302,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2656,19,-17.37949315121926,-66.17869524135112,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
2657,19,-17.378930003389524,-66.17867646588802,NULL,19,171,#de1916,5,0.5,5,"C-Linea LL Rastreo",503,171,1,2,PUNATA,15,2,2,1,1,1,0,0,3,1,10,1,0,5,"C-Linea LL Rastreo",503
